Benchmarks,Policy,RT,IPC,MPKI,Pred_Accuracy (%),Energy (mJ),REF/WB Counts
client_003,WriteBack,100ms,0.871232,10.437909791241804,95.51570298095166,5.087906419506451,0.0
client_003,WriteBack,1s,0.871232,10.437909791241804,95.51570298095166,5.479152099506452,0.0
client_004,Refresh,1ms,0.877622,20.55210958895781,95.81234661166124,8.034127386632552,449.5
client_004,Refresh,10ms,0.877636,20.55210958895781,95.81234661166124,8.206759527972814,0.0
client_004,Refresh,100ms,0.877636,20.55210958895781,95.81234661166124,8.428975557972814,0.0
client_004,Refresh,1s,0.877636,20.55210958895781,95.81234661166124,8.774644937972814,0.0
client_004,WriteBack,1ms,0.8777524999999999,20.552229588955406,95.81235256838482,8.034064388189183,82.5
client_004,WriteBack,10ms,0.877636,20.55210958895781,95.81234661166124,8.206759527972814,0.0
client_004,WriteBack,100ms,0.877636,20.55210958895781,95.81234661166124,8.428975557972814,0.0
client_004,WriteBack,1s,0.877636,20.55210958895781,95.81234661166124,8.774644937972814,0.0
client_005,Refresh,1ms,0.897321,13.225499735490006,95.53440097124792,5.589667218121802,2683.0
client_005,Refresh,10ms,0.8974074999999999,13.225499735490006,95.53440097124792,5.772412658106753,0.0
client_005,Refresh,100ms,0.8974074999999999,13.225499735490006,95.53440097124792,6.008925458106753,0.0
client_005,Refresh,1s,0.8974074999999999,13.225499735490006,95.53440097124792,6.3768342581067525,0.0
client_005,WriteBack,1ms,0.897327,13.225249735495005,95.53457989749646,5.588752507359075,5255.5
client_005,WriteBack,10ms,0.8974074999999999,13.225499735490006,95.53440097124792,5.772412658106753,0.0
client_005,WriteBack,100ms,0.8974074999999999,13.225499735490006,95.53440097124792,6.008925458106753,0.0
client_005,WriteBack,1s,0.8974074999999999,13.225499735490006,95.53440097124792,6.3768342581067525,0.0
client_006,Refresh,1ms,1.019912,5.194749735205014,95.46038861253555,3.288966810216293,4805.5
client_006,Refresh,10ms,1.0201145,5.194749735205014,95.46038861253555,3.4962199624352834,0.0
client_006,Refresh,100ms,1.0201145,5.194749735205014,95.46038861253555,3.7654723774352834,0.0
client_006,Refresh,1s,1.0201145,5.194749735205014,95.46038861253555,4.184309467435283,0.0
client_006,WriteBack,1ms,1.018962,5.226069733650614,95.4597493642861,3.295528456174598,9243.0
client_006,WriteBack,10ms,1.0201145,5.194749735205014,95.46038861253555,3.4962199624352834,0.0
client_006,WriteBack,100ms,1.0201145,5.194749735205014,95.46038861253555,3.7654723774352834,0.0
client_006,WriteBack,1s,1.0201145,5.194749735205014,95.46038861253555,4.184309467435283,0.0
client_007,Refresh,1ms,0.9799985,8.193449844992806,95.38486532479945,3.7644240886885854,10974.0
client_007,Refresh,10ms,0.9804195,8.193449844992806,95.38486532479945,3.9061793741458564,0.0
client_007,Refresh,100ms,0.9804195,8.193449844992806,95.38486532479945,4.094793859145856,0.0
client_007,Refresh,1s,0.9804195,8.193449844992806,95.38486532479945,4.388194169145856,0.0
client_007,WriteBack,1ms,0.9802205,8.210189844636407,95.3847915676904,3.764205566762406,5143.5
client_007,WriteBack,10ms,0.9804195,8.193449844992806,95.38486532479945,3.9061793741458564,0.0
client_007,WriteBack,100ms,0.9804195,8.193449844992806,95.38486532479945,4.094793859145856,0.0
client_007,WriteBack,1s,0.9804195,8.193449844992806,95.38486532479945,4.388194169145856,0.0
client_008,Refresh,1ms,0.8829454999999999,14.761189409552424,95.36439833343212,6.223860731081489,10375.5
client_008,Refresh,10ms,0.88327,14.761189409552424,95.36439833343212,6.463299847170166,0.0
client_008,Refresh,100ms,0.88327,14.761189409552424,95.36439833343212,6.777161122170165,0.0
client_008,Refresh,1s,0.88327,14.761189409552424,95.36439833343212,7.265389772170165,0.0
client_008,WriteBack,1ms,0.883267,14.759339409626424,95.36474042554207,6.220108764784599,7875.0
client_008,WriteBack,10ms,0.88327,14.761189409552424,95.36439833343212,6.463299847170166,0.0
client_008,WriteBack,100ms,0.88327,14.761189409552424,95.36439833343212,6.777161122170165,0.0
client_008,WriteBack,1s,0.88327,14.761189409552424,95.36439833343212,7.265389772170165,0.0
server_001,Refresh,1ms,1.038254,6.598469782357213,95.39840621782406,4.585287877709927,6.0
server_001,Refresh,10ms,1.038254,6.598469782357213,95.39840621782406,4.9191849327099275,0.0
server_001,Refresh,100ms,1.038254,6.598469782357213,95.39840621782406,5.348484617709928,0.0
server_001,Refresh,1s,1.038254,6.598469782357213,95.39840621782406,6.016284127709927,0.0
server_001,WriteBack,1ms,1.038254,6.598469782357213,95.39840621782406,4.5852851777099275,0.0
server_001,WriteBack,10ms,1.038254,6.598469782357213,95.39840621782406,4.9191849327099275,0.0
server_001,WriteBack,100ms,1.038254,6.598469782357213,95.39840621782406,5.348484617709928,0.0
server_001,WriteBack,1s,1.038254,6.598469782357213,95.39840621782406,6.016284127709927,0.0
server_002,Refresh,1ms,0.9422665,2.2617699095292036,95.37488550228647,2.0663236151727817,33062.0
server_002,Refresh,10ms,0.943338,2.2617699095292036,95.37488550228647,2.2298447491763316,1940.0
server_002,Refresh,100ms,0.943442,2.2617699095292036,95.37488550228647,2.4569306015453245,0.0
server_002,Refresh,1s,0.943442,2.2617699095292036,95.37488550228647,2.8117472315453242,0.0
server_002,WriteBack,1ms,0.9435180000000001,2.4379399024824036,95.36320665593678,2.13599478184707,32255.5
server_002,WriteBack,10ms,0.9435515,2.3410499063580037,95.36800803095946,2.267391439495672,10335.5
server_002,WriteBack,100ms,0.943442,2.2617699095292036,95.37488550228647,2.4569306015453245,0.0
server_002,WriteBack,1s,0.943442,2.2617699095292036,95.37488550228647,2.8117472315453242,0.0
server_003,Refresh,1ms,0.6857759999999999,22.09059954002482,95.70956604097842,9.44587246178843,18.0
server_003,Refresh,10ms,0.6857759999999999,22.09059954002482,95.70956604097842,9.73490426678843,0.0
server_003,Refresh,100ms,0.6857759999999999,22.09059954002482,95.70956604097842,10.106527001788429,0.0
server_003,Refresh,1s,0.6857759999999999,22.09059954002482,95.70956604097842,10.68460681178843,0.0
server_003,WriteBack,1ms,0.685701,22.09074954001882,95.70952546084663,9.445422302064435,1.0
server_003,WriteBack,10ms,0.6857759999999999,22.09059954002482,95.70956604097842,9.73490426678843,0.0
server_003,WriteBack,100ms,0.6857759999999999,22.09059954002482,95.70956604097842,10.106527001788429,0.0
server_003,WriteBack,1s,0.6857759999999999,22.09059954002482,95.70956604097842,10.68460681178843,0.0
server_004,Refresh,1ms,0.569653,17.937829999999998,95.5262698800496,7.803870500426175,9789.0
server_004,Refresh,10ms,0.569781,17.937829999999998,95.5262698800496,8.11928001281783,0.0
server_004,Refresh,100ms,0.569781,17.937829999999998,95.5262698800496,8.530477727817829,0.0
server_004,Refresh,1s,0.569781,17.937829999999998,95.5262698800496,9.17011861781783,0.0
server_004,WriteBack,1ms,0.5698669999999999,17.95299,95.52613014697901,7.803888844784437,13874.0
server_004,WriteBack,10ms,0.569781,17.937829999999998,95.5262698800496,8.11928001281783,0.0
server_004,WriteBack,100ms,0.569781,17.937829999999998,95.5262698800496,8.530477727817829,0.0
server_004,WriteBack,1s,0.569781,17.937829999999998,95.5262698800496,9.17011861781783,0.0
server_009,Refresh,1ms,0.5989845,15.732479694665612,95.33735621957479,7.09341618081163,8718.5
server_009,Refresh,10ms,0.5991105,15.732479694665612,95.33735621957479,7.433874186630347,0.0
server_009,Refresh,100ms,0.5991105,15.732479694665612,95.33735621957479,7.876656906630347,0.0
server_009,Refresh,1s,0.5991105,15.732479694665612,95.33735621957479,8.565430026630347,0.0
server_009,WriteBack,1ms,0.5991905,15.757739694163611,95.33737058697,7.0961679944041265,10492.0
server_009,WriteBack,10ms,0.5991105,15.732479694665612,95.33735621957479,7.433874186630347,0.0
server_009,WriteBack,100ms,0.5991105,15.732479694665612,95.33735621957479,7.876656906630347,0.0
server_009,WriteBack,1s,0.5991105,15.732479694665612,95.33735621957479,8.565430026630347,0.0
server_010,Refresh,1ms,0.665248,17.219889823211005,95.30379085486123,7.630790100865507,14854.0
server_010,Refresh,10ms,0.731509,17.678899646422007,98.85701655958914,12.018313798099763,0.0
server_010,Refresh,100ms,0.731509,17.678899646422007,98.85701655958914,12.488634988099763,0.0
server_010,Refresh,1s,0.731509,17.678899646422007,98.85701655958914,13.220245728099764,0.0
server_010,WriteBack,1ms,0.731482,17.685639646287207,98.85703446145496,11.656192704987928,8690.0
server_010,WriteBack,10ms,0.6655135,17.219889823211005,95.30379085486123,7.98990246878984,0.0
server_010,WriteBack,100ms,0.6655135,17.219889823211005,95.30379085486123,8.460223928789839,0.0
server_010,WriteBack,1s,0.6655135,17.219889823211005,95.30379085486123,9.19183508878984,0.0
server_011,Refresh,1ms,0.769163,20.46943959061121,95.54153231045584,9.174481042432237,8.0
server_011,Refresh,10ms,0.769163,20.46943959061121,95.54153231045584,9.537836382432237,0.0
server_011,Refresh,100ms,0.769163,20.46943959061121,95.54153231045584,10.005012162432237,0.0
server_011,Refresh,1s,0.769163,20.46943959061121,95.54153231045584,10.731730042432238,0.0
server_011,WriteBack,1ms,0.769163,20.46943959061121,95.54153231045584,9.174477442432238,0.0
server_011,WriteBack,10ms,0.769163,20.46943959061121,95.54153231045584,9.537836382432237,0.0
server_011,WriteBack,100ms,0.769163,20.46943959061121,95.54153231045584,10.005012162432237,0.0
server_011,WriteBack,1s,0.769163,20.46943959061121,95.54153231045584,10.731730042432238,0.0
server_012,Refresh,1ms,0.809357,19.36699961266001,95.30259635966078,8.448401539017292,0.0
server_012,Refresh,10ms,0.809357,19.36699961266001,95.30259635966078,8.844096209017293,0.0
server_012,Refresh,100ms,0.809357,19.36699961266001,95.30259635966078,9.352846499017293,0.0
server_012,Refresh,1s,0.809357,19.36699961266001,95.30259635966078,10.144235839017293,0.0
server_012,WriteBack,1ms,0.809357,19.36699961266001,95.30259635966078,8.448401539017292,0.0
server_012,WriteBack,10ms,0.809357,19.36699961266001,95.30259635966078,8.844096209017293,0.0
server_012,WriteBack,100ms,0.809357,19.36699961266001,95.30259635966078,9.352846499017293,0.0
server_012,WriteBack,1s,0.809357,19.36699961266001,95.30259635966078,10.144235839017293,0.0
server_013,Refresh,1ms,0.772192,20.32474,95.32739765522126,8.980147054000593,0.0
server_013,Refresh,10ms,0.772192,20.32474,95.32739765522126,9.386105929000594,0.0
server_013,Refresh,100ms,0.772192,20.32474,95.32739765522126,9.908053054000595,0.0
server_013,Refresh,1s,0.772192,20.32474,95.32739765522126,10.719970804000596,0.0
server_013,WriteBack,1ms,0.772192,20.32474,95.32739765522126,8.980147054000593,0.0
